,Year,mesatop_arable_area_1,mesatop_cal_produced_1,drainage_arable_area_1,drainage_cal_produced_1,total_arable_area_1,total_cal_produced_1,cal_per_mt_1,cal_per_drainage_1,cal_per_ha_1,pop_1,pop_cal_needs_1,cal_difference_with_seed_1
1,700,76.73729249,153612619.9,3.389133544,5179006.189,80.12642603,158791626.1,1983240,1538250,1962316.861,64,33447232,85646487.54
2,701,74.72016465,145260022.3,3.31362561,5911935.451,78.03379026,151171957.8,1924685,1746535,1923809.124,64,33447232,79931736.33
3,702,74.25133763,211244151.6,3.420832215,5386747.025,77.67216984,216630898.6,2741025,1599815,2696672.986,65,33969845,128503329
4,703,72.09845592,155062112.8,3.382598449,7156884.898,75.48105437,162218997.7,1995840,2120650,2008784.111,65,33969845,87694403.28
5,704,0,0,0,0,0,0,0,0,0,65,33969845,-33969845
6,705,73.16027552,146396341.9,3.303467968,5841043.365,76.46374349,152237385.2,1984010,1758715,1980454.14,65,33969845,80208193.92
7,706,71.67436977,112648330.8,0.962377357,2004339.088,72.63674713,114652669.9,1650950,2068885,1656580.427,65,33969845,52019657.43
8,707,74.46209635,177501878.5,3.355321803,6067039.613,77.81741815,183568918.1,2432990,1838445,2391632.945,65,33969845,103706843.6
9,708,71.38846126,202058252.3,3.377694383,6418749.609,74.76615565,208477001.9,2857260,1925175,2813086.853,65,33969845,122387906.4
10,709,76.3326897,165642822.6,3.425741111,7544835.514,79.75843082,173187658.1,2133040,2207485,2146742.046,65,33969845,95920898.61
11,710,72.67884845,139946499.5,3.355840738,7785551.371,76.03468918,147732050.8,1967490,2358440,1978207.559,65,33969845,76829193.12
12,711,75.2766989,175727319.1,3.387414165,6994324.334,78.66411306,182721643.4,2278955,2057125,2275341.237,65,33969845,103071387.6
13,712,73.27104252,176500219.7,3.406837978,6560288.486,76.6778805,183060508.2,2308425,1914115,2294723.861,65,33969845,103325536.1
14,713,73.40189046,176619182.9,3.396506441,6092315.45,76.7983969,182711498.3,2340485,1768340,2315015.995,65,33969845,103063778.8
15,714,75.40773768,182480767.1,3.377888601,6232832.237,78.78562628,188713599.4,2401525,1886220,2378193.755,65,33969845,107565354.5
16,715,74.36439433,139292015.1,3.403029993,6605813.689,77.76742433,145897828.8,1960140,1942955,1962416.865,65,33969845,75453526.58
17,716,77.01835568,193569012.7,3.432783833,5760754.028,80.45113951,199329766.7,2446815,1690675,2417916.564,65,33969845,115527480.1
18,717,73.27737995,159691747.8,3.404304176,5425216.208,76.68168413,165116964,2189285,1594495,2163180.442,65,33969845,89867878.01
19,718,76.65063702,207286500.4,3.411546111,6655539.536,80.06218314,213942040,2612680,2004590,2594233.98,65,33969845,126486685
20,719,71.38613401,143302619.4,3.343618431,7045808.427,74.72975244,150348427.8,2116100,2059190,2109246.964,65,33969845,78791475.86
21,720,71.21117563,143930343.3,3.284717752,6372687.078,74.49589339,150303030.4,2031155,1938300,2020675.033,65,33969845,78757427.8
22,721,76.5069739,146051814.4,3.373126275,6761055.303,79.88010018,152812869.7,1908550,2015895,1915132.676,65,33969845,80639807.31
23,722,73.95514928,127350774.1,3.447266747,5902824.173,77.40241603,133253598.2,1829905,1681925,1815170.897,65,33969845,65970353.68
24,723,75.76874116,131686746,3.447504317,5623878.134,79.21624548,137310624.1,1645630,1590610,1652148.781,65,33969845,69013123.11
25,724,75.17269685,164244423.7,3.26656332,6077988.443,78.43926017,170322412.1,2303385,1845865,2276488.708,65,33969845,93771964.09
26,725,74.86081898,166500106.7,3.215941845,7309874.109,78.07676083,173809980.8,2148650,2262785,2158698.264,65,33969845,96387640.6
27,726,63.19148103,156727369.4,2.633283533,5271337.566,65.82476456,161998706.9,2505300,2012010,2483285.429,65,33969845,87529185.2
28,727,63.50945871,89547543.72,2.617070397,4640406.071,66.12652911,94187949.79,1545635,1719655,1554169.067,65,33969845,36671117.34
29,728,72.89825334,181534077.4,3.196471678,6439370.03,76.09472502,187973447.4,2449545,2004450,2438990.044,66,34492458,106487627.6
30,729,74.03402966,141945040.4,3.339213053,5607479.082,77.37324272,147552519.5,1876105,1683710,1871810.062,66,34492458,76171931.6
31,730,73.45568715,125974849.7,3.42415274,7193239.129,76.87983989,133168088.8,1802605,2109975,1810268.28,66,34492458,65383608.62
32,731,73.30370838,154198511.8,3.41703609,5962282.652,76.72074447,160160794.4,2027900,1721790,2020159.576,66,34492458,85628137.81
33,732,75.78638942,151608014.5,3.413706249,7074330.751,79.20009567,158682345.2,1946280,2109345,1960665.202,66,34492458,84519300.91
34,733,73.84913943,121801611.7,3.229715575,6669120.179,77.07885501,128470731.9,1627395,2046800,1647481.9,66,34492458,61860590.9
35,734,61.66212252,116877975.9,0.703952198,1293629.37,62.36607472,118171605.3,1952020,1827525,1950816.247,66,34492458,54136245.97
36,735,74.97814662,149811775.3,3.391830481,5970251.183,78.3699771,155782026.5,2074100,1786680,2052722.454,66,34492458,82344061.88
37,736,73.43070604,162565793.8,0.971047523,1857258.065,74.40175356,164423051.8,2108715,1919645,2106788.59,66,34492458,88824830.87
38,737,74.72090463,172281214.1,3.398823424,6110452.109,78.11972805,178391666.2,2174025,1803445,2169125.539,66,34492458,99301291.62
39,738,0,0,0,0,0,0,0,0,0,66,34492458,-34492458
40,739,74.19391985,170440513.2,3.370937792,6782138.034,77.56485764,177222651.3,2242800,2069690,2232936.826,66,34492458,98424530.45
41,740,74.60530441,134367140.3,3.396128793,6294699.401,78.00143321,140661839.7,1617595,1855350,1634031.546,66,34492458,71003921.75
42,741,79.63428023,174281100.5,3.334883684,6004180.992,82.96916391,180285281.5,2186800,1804985,2170278.472,66,34492458,100721503.1
43,742,75.05718532,147521775.8,0.964821451,1675970.353,76.02200677,149197746.2,1810550,1755775,1811773.283,66,34492458,77405851.64
44,743,62.57843529,135572714.4,0.12951281,265059.6266,62.7079481,135837774,2202235,2079945,2201974.77,66,34492458,67385872.5
45,744,75.44363075,195365214.5,0.948340917,1844420.221,76.39197167,197209634.7,2573375,1951635,2564663.4,66,34492458,113414768
46,745,76.02620059,152878709,3.314833124,5900711.206,79.34103371,158779420.2,2056985,1809150,2044489.69,66,34492458,84592107.16
47,746,75.75381802,122304146.8,3.427170686,6822631.198,79.18098871,129126778,1585150,1986425,1605698.815,66,34492458,62352625.51
48,747,75.62139194,166932602.4,3.424981871,6542687.638,79.04637381,173475290,2215500,1917930,2201518.868,66,34492458,95614009.52
49,748,75.87671407,168505571.5,0.967482548,2001543.011,76.84419662,170507114.5,2148475,2093315,2149566.323,66,34492458,93387877.88
50,749,73.44274114,153603490,0.951272427,1823296.975,74.39401357,155426787,2087645,1913975,2084656.704,66,34492458,82077632.25
51,750,0,0,0,0,0,0,0,0,0,66,34492458,-34492458
52,751,0,0,0,0,0,0,0,0,0,66,34492458,-34492458
53,752,73.82955883,177082320.8,0.972201502,2136398.575,74.80176033,179218719.4,2394910,2238705,2391436.012,66,34492458,99921581.52
54,753,74.29292124,110889346,0.965778585,1700254.432,75.25869983,112589600.5,1445850,1775060,1452387.58,66,34492458,49949742.35
55,754,75.1482182,136492546.4,3.323927285,6904101.355,78.47214549,143396647.8,1900885,2077565,1904913.452,66,34492458,73055027.82
56,755,70.83191149,156430983.1,3.358772767,6637432.313,74.19068426,163068415.4,2269610,1976835,2254208.538,66,34492458,87808853.53
57,756,76.37646668,172608067.9,3.411575163,5326690.483,79.78804185,177934758.4,2207030,1572375,2184110.609,66,34492458,98958610.78
58,757,73.52749106,215136221.5,3.35139317,6671304.017,76.87888423,221807525.5,2828420,1969765,2793412.169,66,34492458,131863186.1
59,758,75.59829578,150523761.8,3.431948547,6862153.734,79.03024433,157385915.5,1932980,1978410,1942075.128,66,34492458,83546978.63
60,759,61.46346186,176885241.8,2.616253309,4639478.534,64.07971517,181524720.3,2877350,1795745,2833918.403,66,34492458,101651082.2
61,760,74.91372256,158029629.2,3.180339535,5881308.438,78.0940621,163910937.6,2264185,1833335,2239095.599,66,34492458,88440745.22
62,761,0,0,0,0,0,0,0,0,0,67,35015071,-35015071
63,762,76.94342983,170438297.5,3.357897552,7089216.125,80.30132738,177527513.6,2146935,2119110,2148016.961,67,35015071,98130564.19
64,763,74.76009725,195005899.5,3.320043546,6089218.822,78.0801408,201095118.3,2618455,1863365,2585875.912,67,35015071,115806267.7
65,764,72.34438916,141788436.1,3.358339766,7780173.11,75.70272893,149568609.2,2028040,2298205,2044279.925,67,35015071,77161385.88
66,765,72.17246902,173393815.1,3.308796097,7192184.955,75.48126512,180586000.1,2237200,2194500,2242553.452,67,35015071,100424429.1
67,766,76.03356278,157559112.1,3.413679057,5895631.642,79.44724184,163454743.7,2007110,1735300,1996731.043,67,35015071,87575986.78
68,767,76.27939533,154073727.7,0.966367952,1880076.349,77.24576329,155953804.1,2048830,1966580,2048205.062,67,35015071,81950282.06
69,768,72.89418992,165127509.6,3.2707104,6189974.892,76.16490032,171317484.5,2311470,1895005,2291802.081,67,35015071,93473042.35
70,769,75.5868502,116922206.1,0.970605746,1729562.616,76.55745594,118651768.7,1625435,1755565,1626932.233,67,35015071,53973755.52
71,770,76.38854304,162366521.5,0.964737763,1717732.373,77.3532808,164084253.9,2009595,1731730,2008067.693,67,35015071,88048119.41
72,771,76.01674597,161679332.1,3.508653019,6263975.761,79.52539899,167943307.8,2270450,1837500,2243380.144,67,35015071,90942409.86
